subject_id,mean,std,2.5q,25q,50q,75q,97.5q,mc err,Gelman-Rubin
t_subj(0-Back.Affective).11952,0.266674332675653,0.024976139858429263,0.21046796494171263,0.2517977008993701,0.26931339040810987,0.2845122426022177,0.3078951714580998,0.0005965558000149991,1.0001006693811902
t_subj(0-Back.Affective).11953,0.27214355021758624,0.023594451583701947,0.21892066387335166,0.25824004169661785,0.2743998068890355,0.2889215175001435,0.31105086163350665,0.0005819864354975218,1.0003046449364803
t_subj(0-Back.Affective).11954,0.31723861656254376,0.022586747325770658,0.2693959099215364,0.3038119704937087,0.3196365186377661,0.3334970537845345,0.3530438770142333,0.0005445940489033643,1.0000791962287991
t_subj(0-Back.Affective).11956,0.29726023556785947,0.03563235971105348,0.21909375512125734,0.27548373287186206,0.30092736285309646,0.3229581920368297,0.35649561767838706,0.0007629903726010757,1.0001584721570034
t_subj(0-Back.Affective).11958,0.34020440969655774,0.028416013187532393,0.2758166567004322,0.3234526547488282,0.34349972535666523,0.360442363123777,0.3860945950573907,0.0006273832617851316,1.0004106852506869
t_subj(0-Back.Affective).11960,0.31985338449742745,0.025490138630899585,0.26274506837694933,0.30430890116766274,0.32246194988746085,0.33830085721585706,0.3613817583542682,0.0006793358815568766,1.0000451595445674
t_subj(0-Back.Affective).11961,0.1812375053473101,0.026274225591543732,0.13126399011226264,0.16535574111203538,0.1811101983107829,0.19566039236957805,0.2358092757759932,0.00043522665247375437,0.9999923040363424
t_subj(0-Back.Affective).11963,0.22350222134422953,0.022124733329428933,0.17436374817432185,0.20965437342478385,0.2257346650049425,0.23971554936038253,0.2603410299443501,0.0004763337482723667,1.000242642580801
t_subj(0-Back.Affective).11964,0.31260571601081166,0.09260631330801014,0.19937080993137019,0.24841708266602652,0.2740836735213007,0.40636172962995487,0.4938919634553886,0.005241884560975442,1.0053715705822144
t_subj(0-Back.Affective).11966,0.1963238577680968,0.025068201181924078,0.1440641451384133,0.18036893885121258,0.19750641096194752,0.21416563225461444,0.24033585030739996,0.00048451478255909935,1.0000600324886575
t_subj(0-Back.Affective).11970,0.3749305403151228,0.050525115540594835,0.2822771672097926,0.3426969823017426,0.3701503942172526,0.3978318314522731,0.4840434152674241,0.0011147148134587606,1.0002373671432199
t_subj(0-Back.Affective).11971,0.3491507997517837,0.03790429320230956,0.26544587398464387,0.3256724782840458,0.35273541753726856,0.37656226932079845,0.41250654484710625,0.0008985028636572629,0.9999814552072194
t_subj(0-Back.Affective).11972,0.26751555743940664,0.02929548707895198,0.20335937278683489,0.24905517406144206,0.27023290730660304,0.288319688185573,0.31765382854424484,0.0005849240871022708,1.000306280926002
t_subj(0-Back.Affective).11973,0.3775394479579448,0.03498974733899608,0.2984907510066879,0.35592533270974785,0.38106386832271166,0.40308579845552617,0.43433386749850994,0.0007264544313156272,0.9999463944211938
t_subj(0-Back.Affective).11974,0.44486765011273305,0.04778830660528151,0.3376190413789878,0.4165888750992421,0.4496495615060617,0.47859357318362383,0.5243072223286761,0.001058901002642396,1.0006488877148498
t_subj(0-Back.Affective).11976,0.31622419587428235,0.027422800307717057,0.25437370026559825,0.29984507804934907,0.3190705807809287,0.33561415310184034,0.3609421402387058,0.0005978383472196945,1.000312981495378
